#;name of the book;author;;move?;check?;released?;year;page;category;read?;reading?;tbr?;reread?;shelf;location;Info;image;#;;
3415;Freud Savaslari - Psikanaliz ve Tutkulari;John Forrester;Freud Savaslari - Psikanaliz ve Tutkulari. John Forrester;yes;;;2000;304;category?;read?;-;📋;reread?;C-8;homelibrary;https://www.google.com/search?q=Freud%20Savaslari%20John%20Forrester;https://www.google.com/search?q=Freud%20Savaslari%20John%20Forrester&tbm=isch;2415;yes;60%
3414;Freud ve Psikanaliz - Alti Giris Dersi;John Forrester;Freud ve Psikanaliz - Alti Giris Dersi. John Forrester;yes;;;2025;208;category?;read?;-;📋;reread?;C-7;homelibrary;https://www.google.com/search?q=Freud%20ve%20Psikanaliz%20-%20Alti%20Giris%20Dersi%20John%20Forrester;https://www.google.com/search?q=Freud%20ve%20Psikanaliz%20-%20Alti%20Giris%20Dersi%20John%20Forrester&tbm=isch;2414;1456;1449
3413;Duslenemez Diyarlarin Yolculari - Demans, Bakim Verenler ve Insan Beyni Hikayeleri;Dasha Kiper;Duslenemez Diyarlarin Yolculari - Demans, Bakim Verenler ve Insan Beyni Hikayeleri. Dasha Kiper;yes;;;2025;240;category?;read?;-;📋;reread?;C-6;homelibrary;https://www.google.com/search?q=Duslenemez%20Diyarlarin%20Yolculari%20-%20Demans,%20Bakim%20Verenler%20ve%20Insan%20Beyni%20Hikayeleri%20Dasha%20Kiper;https://www.google.com/search?q=Duslenemez%20Diyarlarin%20Yolculari%20-%20Demans,%20Bakim%20Verenler%20ve%20Insan%20Beyni%20Hikayeleri%20Dasha%20Kiper&tbm=isch;2413;1645;
3412;Kutsal Dolar - Kuresel Ekonominin Gercekten Nasil Isledigini Gormek Icin Tek Bir Dolarin Sasirtici Yolculugunu Izleyin;Dharshini David;Kutsal Dolar - Kuresel Ekonominin Gercekten Nasil Isledigini Gormek Icin Tek Bir Dolarin Sasirtici Yolculugunu Izleyin. Dharshini David;yes;;;2020;272;category?;read?;-;📋;reread?;C-5;homelibrary;https://www.google.com/search?q=Kutsal%20Dolar%20-%20Kuresel%20Ekonominin%20Gercekten%20Nasil%20Isledigini%20Gormek%20Icin%20Tek%20Bir%20Dolarin%20Sasirtici%20Yolculugunu%20Izleyin%20Dharshini%20David;https://www.google.com/search?q=Kutsal%20Dolar%20-%20Kuresel%20Ekonominin%20Gercekten%20Nasil%20Isledigini%20Gormek%20Icin%20Tek%20Bir%20Dolarin%20Sasirtici%20Yolculugunu%20Izleyin%20Dharshini%20David&tbm=isch;2412;no;40%
3411;Dogru Sorulari Sorsaydik Hayvanlar Ne Soylerdi?;Vinciane Despret;Dogru Sorulari Sorsaydik Hayvanlar Ne Soylerdi?. Vinciane Despret;yes;;;2019;272;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Dogru%20Sorulari%20Sorsaydik%20Hayvanlar%20Ne%20Soylerdi?%20Vinciane%20Despret;https://www.google.com/search?q=Dogru%20Sorulari%20Sorsaydik%20Hayvanlar%20Ne%20Soylerdi?%20Vinciane%20Despret&tbm=isch;2411;499;966
3410;Norofitness – Bir Beyin Cerrahinin Anilari;Rahul Jandial;Norofitness – Bir Beyin Cerrahinin Anilari. Rahul Jandial;yes;;;2026;264;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Norofitness%20%E2%80%93%20Bir%20Beyin%20Cerrahinin%20Anilari%20Rahul%20Jandial;https://www.google.com/search?q=Norofitness%20%E2%80%93%20Bir%20Beyin%20Cerrahinin%20Anilari%20Rahul%20Jandial&tbm=isch;2410;?;
3409;Insanlari Baglama Sanati;Paolo Milone;Insanlari Baglama Sanati. Paolo Milone;yes;;;2026;212;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Insanlari%20Baglama%20Sanati%20Paolo%20Milone;https://www.google.com/search?q=Insanlari%20Baglama%20Sanati%20Paolo%20Milone&tbm=isch;2409;0;
3408;Erkek ve Kadin - Degisen Bir Dunyada Cinsiyetler Uzerine;Margaret Mead;Erkek ve Kadin - Degisen Bir Dunyada Cinsiyetler Uzerine. Margaret Mead;yes;;;2026;560;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Erkek%20ve%20Kadin%20-%20Degisen%20Bir%20Dunyada%20Cinsiyetler%20Uzerine%20Margaret%20Mead;https://www.google.com/search?q=Erkek%20ve%20Kadin%20-%20Degisen%20Bir%20Dunyada%20Cinsiyetler%20Uzerine%20Margaret%20Mead&tbm=isch;2408;n/a;
3407;Fluke - Sans, Kaos ve Hayatin Gizli Mantigi;Brian Klaas;Fluke - Sans, Kaos ve Hayatin Gizli Mantigi. Brian Klaas;yes;;;2026;372;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Fluke%20-%20Sans,%20Kaos%20ve%20Hayatin%20Gizli%20Mantigi%20Brian%20Klaas;https://www.google.com/search?q=Fluke%20-%20Sans,%20Kaos%20ve%20Hayatin%20Gizli%20Mantigi%20Brian%20Klaas&tbm=isch;2407;189;
3406;Beden Konustugunda - Hicbir Seyim Yoksa Neden Agrim Var?;Arturo Goicoechea;Beden Konustugunda - Hicbir Seyim Yoksa Neden Agrim Var?. Arturo Goicoechea;yes;;;2026;208;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Beden%20Konustugunda%20-%20Hicbir%20Seyim%20Yoksa%20Neden%20Agrim%20Var?%20Arturo%20Goicoechea;https://www.google.com/search?q=Beden%20Konustugunda%20-%20Hicbir%20Seyim%20Yoksa%20Neden%20Agrim%20Var?%20Arturo%20Goicoechea&tbm=isch;2406;total;
